bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	leiden	pct_counts_mt_below_7
79_07_10	409	471	479	5.3078556	0	1
79_07_17	308	381	386	6.5616803	2	1
79_07_42	438	532	547	6.9548874	0	1
79_07_86	376	452	473	5.973451	2	1
79_08_14	1088	1380	1422	5.4426703	1	1
79_08_46	313	372	382	6.4690022	1	1
79_10_25	345	416	425	4.0865383	2	1
79_10_32	509	617	630	6.8071313	1	1
79_10_42	576	691	706	6.376812	0	1
79_10_74	489	571	584	6.326889	1	1
79_11_03	764	943	969	6.1702127	2	1
79_11_44	328	387	396	6.2015505	1	1
79_11_88	377	448	456	6.026786	1	1
79_12_75	351	392	404	4.0816326	2	1
79_13_05	336	394	405	6.5989842	0	1
79_13_43	429	517	527	9.302325	0	0
79_13_53	516	615	628	7.32899	0	0
79_13_72	386	463	474	6.4794817	2	1
79_14_03	314	384	397	6.7708335	0	1
79_14_05	322	380	388	6.332454	2	1
79_14_07	628	725	738	3.3103447	1	1
79_14_56	658	809	828	5.686032	0	1
79_14_71	310	373	379	8.579089	1	0
79_15_20	336	394	406	6.361323	0	1
79_15_68	529	647	667	6.3369403	0	1
79_15_71	457	549	561	7.116789	1	0
79_15_81	405	454	466	3.0837004	1	1
79_16_12	387	459	466	4.1394334	1	1
79_16_61	520	632	647	4.4444447	2	1
79_17_53	1174	1541	1578	6.757635	0	1
79_18_45	574	691	705	8.248915	0	0
79_18_47	791	963	982	5.093555	0	1
79_18_61	306	353	363	1.9830028	0	1
79_18_70	463	546	560	6.7889905	0	1
79_19_46	345	397	412	3.7783377	0	1
79_19_81	410	530	544	9.829867	2	0
79_20_05	1129	1450	1477	4.699378	1	1
79_20_36	307	375	388	10.400001	0	0
79_20_78	411	520	526	8.653847	0	0
79_21_36	572	676	695	6.5476193	1	1
79_21_61	480	575	591	7.491289	0	0
79_23_63	499	622	639	8.856683	0	0
79_24_10	367	413	417	4.6004844	1	1
79_24_28	620	735	755	6.9387755	1	1
79_24_77	339	379	386	6.6137567	0	1
79_25_53	394	490	500	9.795918	0	0
79_26_01	351	410	418	7.090464	0	0
79_27_09	1476	2099	2165	6.482364	0	1
79_27_11	377	453	464	6.1810155	0	1
79_27_12	994	1311	1343	9.014515	0	0
79_27_37	465	542	558	5.3604436	0	1
79_27_43	437	511	528	7.8277884	1	0
79_27_44	515	621	640	6.7632847	0	1
79_27_96	311	373	383	7.7747984	2	0
79_28_44	362	458	464	8.752735	2	0
79_28_82	1070	1323	1353	5.0680785	1	1
79_28_93	431	515	527	6.2135925	1	1
79_28_96	316	376	385	7.978723	0	0
79_29_17	923	1194	1229	6.980656	0	1
79_29_34	730	896	914	6.8156424	1	1
79_29_44	378	432	441	7.888631	1	0
79_30_86	498	599	615	6.365159	2	1
79_31_08	436	511	525	6.0784316	0	1
79_31_12	345	389	401	4.123711	2	1
79_31_16	347	417	424	7.434053	1	0
79_31_36	827	1009	1032	4.9603176	1	1
79_31_77	324	371	377	5.675676	0	1
79_32_35	658	798	814	6.5326633	2	1
79_33_51	478	563	579	6.394316	1	1
79_33_55	402	484	491	7.4534163	2	0
79_33_74	333	421	430	7.1428576	0	0
79_33_80	409	490	502	8.367347	0	0
79_33_92	456	521	529	5.192308	0	1
79_34_08	375	446	456	4.2600894	0	1
79_34_46	314	352	361	7.3863635	1	0
79_34_56	417	491	500	5.102041	2	1
79_34_86	359	432	441	10.87963	2	0
79_34_88	832	1087	1119	6.8077273	0	1
79_35_21	482	598	615	7.859532	0	0
79_35_28	650	792	819	4.9242425	1	1
79_36_03	391	471	486	6.623932	2	1
79_36_17	818	1031	1052	5.242718	0	1
79_36_31	375	433	438	5.311778	0	1
79_36_37	309	351	360	6.8376074	0	1
79_36_55	2967	4950	5071	6.8122096	0	1
79_36_79	375	439	447	6.378132	0	1
79_36_85	520	621	640	5.47504	2	1
79_36_91	319	365	372	5.2054796	0	1
79_36_96	626	752	770	4.3882976	2	1
79_37_35	330	379	393	4.74934	1	1
79_38_10	308	349	358	5.444126	0	1
79_40_28	336	410	416	9.02439	0	0
79_40_48	459	541	555	7.7634015	1	0
79_40_56	712	903	925	4.6511626	2	1
79_40_73	1004	1309	1337	4.6636086	0	1
79_40_79	737	887	904	5.0847454	1	1
79_42_15	725	881	902	7.0454545	1	0
79_42_30	320	361	368	4.4321327	0	1
79_42_32	305	356	363	9.60452	0	0
79_42_68	340	403	413	4.962779	2	1
79_42_77	653	798	816	6.273526	1	1
79_43_10	306	358	365	8.100559	1	0
79_43_17	326	395	406	7.848101	0	0
79_43_77	387	466	475	9.032258	0	0
79_44_27	385	447	456	6.263982	1	1
79_44_49	730	932	952	7.327586	0	0
79_45_16	1160	1536	1579	7.301173	1	0
79_45_54	907	1167	1192	5.574614	0	1
79_46_07	353	396	408	8.6075945	2	0
79_46_19	424	520	536	5.587669	2	1
79_46_25	310	370	374	6.25	0	1
79_46_39	320	363	369	9.917356	0	0
79_46_41	316	360	373	7.777778	0	0
79_46_57	423	500	511	5.4	0	1
79_46_67	451	540	555	8.703704	0	0
79_46_82	721	892	920	6.397306	1	1
79_46_90	317	351	361	6.8376074	1	1
79_48_51	1072	1391	1423	4.75162	0	1
