bc_wells	mread_count
01_56_96	3739
01_57_08	0
01_57_12	3701
01_57_31	28
01_57_39	1441
01_57_40	494
01_57_52	2502
01_57_56	479
01_57_75	2437
01_57_82	4278
01_58_07	1205
01_58_13	3527
01_58_41	1380
01_58_48	5937
01_59_07	1588
01_59_08	837
01_59_12	202
01_59_22	568
01_59_23	1205
01_59_82	0
01_60_07	46
01_60_19	1900
01_60_20	903
01_60_21	316
01_60_30	215
01_60_52	1022
01_60_59	557
01_60_63	646
01_60_90	2930
01_60_91	0
01_61_45	952
01_61_49	389
01_61_77	2680
01_61_82	1446
01_62_01	0
01_62_07	3146
01_62_29	0
01_62_90	2154
01_63_28	6794
01_63_29	524
01_63_43	69
01_63_73	0
01_64_26	4636
01_64_30	590
01_64_75	2281
01_64_91	2524
01_64_96	581
01_65_01	5616
01_65_16	2248
01_65_57	6688
01_65_70	3388
01_65_90	5564
01_65_95	3395
01_66_13	270
01_66_68	15713
01_66_76	287
01_66_77	3128
01_66_90	2428
01_67_01	1916
01_67_04	719
01_67_20	455
01_67_25	1261
01_67_28	1515
01_67_40	2676
01_67_41	3163
01_67_59	1523
01_67_65	728
01_67_70	0
01_68_05	2002
01_68_13	829
01_68_71	2089
01_68_90	6321
01_69_26	843
01_69_49	2312
01_69_65	8757
01_69_68	1895
01_69_71	2057
01_69_73	3447
01_69_76	2545
01_69_78	6852
01_70_18	3595
01_70_23	1181
01_70_24	1365
01_70_66	7044
01_70_80	0
01_70_85	2465
01_70_91	1804
01_71_03	370
01_71_16	0
01_71_21	526
01_71_36	124
01_71_42	533
01_71_58	531
01_71_59	423
01_71_91	150
01_71_93	3598
01_72_03	4235
01_72_29	3020
01_72_30	2422
01_72_76	622
01_72_87	5515
01_73_37	880
01_73_48	790
01_73_84	1215
01_73_87	0
01_73_91	389
01_74_17	1243
01_74_38	780
01_74_54	1393
01_74_57	576
01_74_83	152
01_75_07	1241
01_75_36	0
01_76_02	914
01_76_05	3195
01_76_18	1023
01_76_36	1140
01_76_38	1867
01_76_60	1683
01_76_65	3477
01_76_77	1830
01_76_79	737
01_77_01	0
01_77_14	0
01_77_30	1100
01_77_69	567
01_77_80	764
01_78_04	979
01_78_17	752
01_78_18	0
01_78_29	3640
01_78_69	2143
01_79_10	351
01_79_17	2109
01_79_22	890
01_79_23	0
01_79_29	594
01_79_40	966
01_79_71	0
01_79_90	1394
01_80_73	2022
01_80_79	1269
01_80_80	1050
01_80_89	292
01_80_92	0
01_81_05	937
01_81_15	7023
01_81_62	324
01_81_76	0
01_81_77	803
01_81_91	1210
01_82_05	1175
01_82_18	8487
01_82_44	5466
01_82_50	1622
01_82_74	1955
01_82_91	1429
01_83_05	0
01_83_54	0
01_83_56	74
01_83_68	0
01_83_77	8650
01_83_83	2206
01_84_02	2296
01_84_03	637
01_84_54	716
01_84_55	1316
01_84_65	539
01_84_68	391
01_84_76	0
01_84_79	0
01_85_22	1336
01_85_25	2142
01_85_32	1951
01_85_46	4959
01_85_50	8521
01_85_54	2046
01_85_57	2781
01_85_59	855
01_85_63	1581
01_85_65	1131
01_85_73	805
01_85_79	5621
01_85_85	4696
01_86_01	279
01_86_05	1837
01_86_08	4074
01_86_13	747
01_86_16	827
01_86_22	615
01_86_24	673
01_86_34	2462
01_86_37	2350
01_86_43	0
01_86_65	799
01_86_82	2389
01_86_91	1887
01_86_95	495
01_86_96	823
01_87_17	2738
01_87_19	2735
01_87_61	2133
01_87_66	3361
01_87_73	2200
