guide,bc_wells
guide_A,02_02_81
guide_A,02_03_07
guide_A,02_03_16
guide_A,02_04_91
guide_A,02_05_26
guide_A,02_06_23
guide_A,02_06_54
guide_A,02_07_65
guide_A,02_07_78
guide_A,02_08_20
guide_A,02_08_28
guide_A,02_08_85
guide_A,02_09_18
guide_A,02_09_21
guide_A,02_09_42
guide_A,02_09_96
guide_A,02_10_46
guide_A,02_10_50
guide_A,02_10_54
guide_A,02_10_66
guide_A,02_10_78
guide_A,02_10_79
guide_A,02_10_94
guide_A,02_11_26
guide_A,02_11_33
guide_A,02_11_83
guide_A,02_12_59
guide_A,02_12_88
guide_A,02_13_19
guide_A,02_13_37
guide_A,02_13_49
guide_A,02_13_90
guide_A,02_14_86
guide_A,02_15_01
guide_A,02_15_60
guide_A,02_15_62
guide_A,02_15_80
guide_A,02_15_95
guide_A,02_16_84
guide_A,02_17_14
guide_A,02_17_22
guide_A,02_17_37
guide_A,02_17_73
guide_A,02_18_01
guide_A,02_18_35
guide_A,02_18_37
guide_A,02_18_61
guide_A,02_18_89
guide_A,02_19_20
guide_A,02_19_34
guide_A,02_19_42
guide_A,02_19_71
guide_A,02_20_35
guide_A,02_20_69
guide_A,02_21_11
guide_A,02_21_13
guide_A,02_21_30
guide_A,02_21_51
guide_A,02_22_78
guide_A,02_22_88
guide_A,02_23_56
guide_A,02_23_65
guide_A,02_23_78
guide_A,02_24_32
guide_A,02_24_53
guide_A,02_24_73
guide_A,02_25_58
guide_A,02_26_05
guide_A,02_26_16
guide_A,02_26_81
guide_A,02_28_40
guide_A,02_28_84
guide_A,02_29_17
guide_A,02_29_73
guide_A,02_30_03
guide_A,02_30_12
guide_A,02_30_29
guide_A,02_30_46
guide_A,02_30_87
guide_A,02_30_96
guide_A,02_32_42
guide_A,02_32_96
guide_A,02_33_23
guide_A,02_33_52
guide_A,02_33_78
guide_A,02_35_33
guide_A,02_35_72
guide_A,02_35_77
guide_A,02_36_01
guide_A,02_36_21
guide_A,02_36_54
guide_A,02_36_91
guide_A,02_37_07
guide_A,02_38_04
guide_A,02_38_25
guide_A,02_38_33
guide_A,02_38_81
guide_A,02_39_31
guide_A,02_40_42
guide_A,02_40_57
guide_A,02_40_87
guide_A,02_40_90
guide_A,02_41_09
guide_A,02_41_15
guide_A,02_41_46
guide_A,02_41_47
guide_A,02_41_62
guide_A,02_41_84
guide_A,02_42_52
guide_A,02_42_63
guide_A,02_42_78
guide_A,02_43_91
guide_A,02_44_58
guide_A,02_44_76
guide_A,02_45_15
guide_A,02_46_51
guide_A,02_46_75
guide_A,02_46_96
guide_A,02_47_07
guide_A,02_47_13
guide_A,02_47_14
guide_A,02_47_34
guide_A,02_47_65
guide_A,02_47_76
guide_A,02_48_25
guide_A,02_48_28
guide_A,02_48_37
guide_A,02_48_90
guide_A,02_49_11
guide_A,02_49_18
guide_A,02_50_02
guide_A,02_50_34
guide_A,02_50_46
guide_A,02_50_81
guide_A,02_51_15
guide_A,02_51_59
guide_A,02_51_68
guide_A,02_51_70
guide_A,02_51_71
guide_A,02_52_07
guide_A,02_52_55
guide_A,02_52_61
guide_A,02_53_05
guide_A,02_53_11
guide_A,02_53_20
guide_A,02_53_41
guide_A,02_53_50
guide_A,02_53_51
guide_A,02_53_70
guide_A,02_53_72
guide_A,02_55_65
guide_A,02_56_76
guide_A,02_56_95
guide_A,02_57_03
guide_A,02_57_10
guide_A,02_57_35
guide_A,02_57_93
guide_A,02_58_13
guide_A,02_58_29
guide_A,02_58_66
guide_A,02_59_18
